Station Map ID,USGS Station Name,USGS Station Number,Date,Time,Sample Type,Data References,"Mercury, Unfiltered (ng/L)","Mercury, Unfiltered Data Source","Mercury, Filtered (ng/L)","Mercury, Filtered Data Source","Methylmercury, Unfiltered (ng/L)","Methylmercury, Unfiltered Data Source","Methylmercury, Filtered (ng/L)","Methylmercury, Filtered Data Source"
BR-80,NF STEEPHOLLOW C NR BLUE CYN CA,3.91642E+14,07-01-99,10:00,Environmental,NP,1.2,C2,1.2,C2,<0.025,W1,ND,ND
BR-81,REMINGTON HILL MINE MAIN DISCHARGE NR BLUE CYN CA,3.91643E+14,07-01-99,9:30,Environmental,NP,2.2,C2,1.8,C2,<0.025,W1,ND,ND
BR-82,SE TRIB TO ROLLINS RES NR COLFAX CA,3.90815E+14,12/21/2001,7:30,Environmental,NP,ND,ND,ND,ND,<0.04,W1,<0.04,W1
BR-83,POORMAN C AB ROLLINS RES A YOU BET RD NR COLFAX CA,3.90951E+14,12/21/2001,14:30,Environmental,NP,2.4,CQ,ND,ND,<0.04,W1,<0.04,W1
BR-84,S TRIB TO ROLLINS RES NR COLFAX CA,3.90753E+14,12/21/2001,8:00,Environmental,NP,3.5,CQ,ND,ND,<0.04,W1,<0.04,W1
BR-86,NW TRIB TO ROLLINS RES NR BEAR RIVER PINES CA,3.91006E+14,12/21/2001,12:30,Environmental,NP,2.4,CQ,ND,ND,<0.04,W1,<0.04,W1
BR-89,SOUTHERN CROSS MINE TUNNEL MIDWAY NR DUTCH FLAT CA,3.91237E+14,5/27/1999,15:00,Environmental,NP,6.9,C2,E0.7,C2,<0.025,W1,ND,ND
BR-91,STEEPHOLLOW C A LOWELL HILL BRDG NR NEVADA CITY CA,3.91146E+14,1/26/2000,10:00,Environmental,NP,6.3,C2,1.7,C2,0.04,W1,ND,ND
BR-91,STEEPHOLLOW C A LOWELL HILL BRDG NR NEVADA CITY CA,3.91146E+14,3/15/2003,15:50,Environmental,NP,68,W1,4.9,W1,0.13,W1,<0.04,W1
BR-93,STUMP CYN C NE NR DUTCH FLAT CA,3.91351E+14,2/16/2000,12:45,Environmental,NP,252,C2,E0.8,C2,0.05,W1,ND,ND
BR-94,STUMP CYN C NW NR DUTCH FLAT CA,3.9135E+14,2/16/2000,13:45,Environmental,NP,8.8,C2,4.1,C2,0.07,W1,ND,ND
BR-95,YOU BET MINE OUTLET TO MAIN DRAIN TNNL NR GOLD RUN,3.91215E+14,05-06-99,12:30,Environmental,NP,4.2,C2,3.2,C2,<0.025,W1,ND,ND
BR-96,YOU BET MINE INLET TO MAIN DRAIN TNNL NR GOLD RUN,3.91223E+14,05-06-99,15:00,Environmental,NP,1,C2,E0.5,C2,0.03,W1,ND,ND
BR-99,YOU BET MINE SW DRAINAGE TUNNEL NR GOLD RUN CA,3.91144E+14,05-05-99,14:30,Environmental,NP,6.2,C2,3.3,C2,<0.025,W1,ND,ND
BR-100,YOU BET SOUTH WEST-3 TUNNEL NR GOLD RUN CA,3.91147E+14,02-06-02,10:30,Environmental,NP,9.3,C2,7.9,C2,0.16,W1,<0.04,W1
