Station Map ID,USGS Station Name,USGS Station Number,Date,Time,Sample Type,"Aluminum, (weight percent)","Arsenic, (micrograms/g)","Boron, (micrograms/g)","Barium, (micrograms/g)","Beryllium, (micrograms/g)","Bismuth, (micrograms/g)","Calcium, (weight percent)","Cadmium, (micrograms/g)","Cerium, (micrograms/g)","Cobalt, (micrograms/g)","Chromium, (micrograms/g)","Cesium, (micrograms/g)","Copper, (micrograms/g)","Dysprosium, (micrograms/g)","Erbium, (micrograms/g)","Europium, (micrograms/g)","Iron, (weight percent)","Gadolinium, (micrograms/g)","Holmium, (micrograms/g)","Potassium, (weight percent)","Lanthanum, (micrograms/g)","Lithium, (micrograms/g)","Lutetium, (micrograms/g)","Magnesium, (weight percent)","Manganese, (micrograms/g)","Molybdenum, (micrograms/g)","Sodium, (weight percent)","Neodymium, (micrograms/g)","Nickel, (micrograms/g)","Phosphorus, (micrograms/g)","Lead, (micrograms/g)","Praesodymium, (micrograms/g)","Rubidium, (micrograms/g)","Rhenium, (micrograms/g)","Sulfur, (weight percent)","Antimony, (micrograms/g)","Scandium, (micrograms/g)","Selenium, (micrograms/g)","Samarium, (micrograms/g)","Strontium, (micrograms/g)","Terbium, (micrograms/g)","Tellurium, (micrograms/g)","Thorium, (micrograms/g)","Titanium, (weight percent)","Thallium, (micrograms/g)","Thulium, (micrograms/g)","Uranium, (micrograms/g)","Vanadium, (micrograms/g)","Yttrium, (micrograms/g)","Ytterbium, (micrograms/g)","Zinc, (micrograms/g)","Zirconium, (micrograms/g)"
SY-39,ROCK C A ROCK C RD NR NEVADA CITY CA,3.9181E+14,7/10/2003,12:40,Environmental,2.4,18,0.06,213,1.1,0.14,0.19,0.52,2.1,17.1,85,0.5,39.7,0.2,0.14,0.06,5.4,0.21,0.05,0.48,0.6,20,0.02,0.02,487,2.6,0.29,0.8,44.1,ND,19.6,0.2,2.5,< 0.002 ,0.08,1,ND,< 1.2 ,0.2,18,0.04,< 0.08 ,0.7,0.61,0.26,0.02,3.1,178,0.6,0.2,89,119
SY-40,LAKE VERA ROCK C ARM NR NEVADA CITY CA,3.91803E+14,7/9/2003,13:00,Environmental,2.8,14,0.05,197,1.5,0.17,0.19,0.33,5.3,17.6,75,0.9,49.7,0.4,0.22,0.12,5.8,0.35,0.07,0.4,2.3,19.4,0.04,0.08,562,2.3,0.3,2.2,39.7,ND,21.5,0.6,6.4,< 0.003 ,0.034,1.3,ND,< 1.3 ,0.4,22,0.06,< 0.09 ,1.1,0.61,0.39,0.03,2.8,180,1.6,0.3,95,113
SY-41,LAKE VERA IN THALWEG NR DAM NR NEVADA CITY CA,3.91807E+14,7/9/2003,14:00,Environmental,3.6,4,0.08,154,1.2,0.06,0.03,0.06,1.3,7.8,25,0.4,42.2,0.1,0.05,0.03,4.9,0.08,0.02,0.54,0.6,15.1,0.01,0.06,195,2.1,0.22,0.5,13.3,ND,7.2,0.1,5.1,< 0.002 ,< 0.020 ,0.59,ND,< 0.8 ,0.1,6.9,0.01,< 0.06 ,0.4,0.38,0.28,0.01,2.1,148,0.4,0.1,32,31
SY-42,LAKE VERA S SHORE NR NEVADA CITY CA,3.91802E+14,7/9/2003,12:00,Environmental,1.4,6.4,0.133,158,1.3,0.11,0.09,0.03,2.3,14.2,34,0.4,39.9,0.2,0.12,0.07,3,0.24,0.04,0.41,1.1,30,0.01,0.06,480,1.8,0.42,1.2,22.4,ND,14.6,0.3,5,< 0.001 ,< 0.014 ,0.5,ND,< 0.6 ,0.3,13,0.03,< 0.04 ,0.6,0.46,0.35,0.02,2.4,125,0.7,0.1,78,38
TR-01,EF TRINITY R A HORSE HEAVEN MDW NR MT SHASTA CA,4.10928E+14,8/13/2002,12:30,Environmental,4.2,14,0.004,290,0.78,0.14,0.57,0.84,11.5,14.8,79,0.7,47.3,2.3,1.5,0.41,4,1.9,0.48,0.35,5,17.1,0.24,0.62,370,0.7,0.31,6.6,66,470,13.9,1.5,1.8,< 0.003 ,0.077,0.77,10.7,1.2,1.6,28,0.34,< 0.06 ,1.5,0.28,0.2,0.24,1.5,120,13,1.6,120,68
TR-01,EF TRINITY R A HORSE HEAVEN MDW NR MT SHASTA CA,4.10928E+14,8/13/2002,12:31,Field Replicate,5.3,17,0.003,410,1,0.16,0.65,1.08,15.3,18,95,1.4,59.1,2.4,1.5,0.48,4.8,2.1,0.52,0.54,7,21.1,0.26,0.86,440,1.1,0.37,8.3,79.5,560,17.1,2,4.6,< 0.003 ,0.083,0.85,12.3,< 0.8 ,2,37,0.38,0.08,1.8,0.34,0.24,0.25,1.8,140,13.4,1.7,150,80
TR-02,TAMARACK C A EF TRINITY R NR MT SHASTA CA,4.10916E+14,8/13/2002,13:00,Environmental,7.1,11,< 0.003 ,280,1.1,0.14,2.1,0.89,26.8,44.2,560,1.7,75.6,5.6,3.3,1.2,5.3,5.3,1.15,0.54,13.9,22.9,0.46,5,1300,0.7,0.71,17.9,530,430,11.6,4.3,24.2,< 0.003 ,0.04,0.59,29.9,1.6,4.7,57,0.91,0.06,2.5,0.29,0.16,0.49,1.2,150,32,3.3,170,49
TR-03,CROW C AB CONFLUENCE OF EF TRINITY R NR TRINITY CE,4.1074E+14,8/12/2002,11:00,Environmental,4.7,24,< 0.003 ,210,0.73,0.08,0.46,0.15,30.3,96,1400,7.1,52.6,1.9,1,0.76,7.1,2.2,0.36,0.55,14.8,69.8,0.16,12,1200,1.4,1,14.5,1800,390,5.2,3.6,22.9,< 0.003 ,< 0.03 ,7.9,22.8,< 0.9 ,2.8,73,0.31,< 0.06 ,2.4,0.36,0.18,0.16,0.71,110,9.8,1.1,59,77
TR-05,ALTOONA MINE DR A EF TRINITY R NR TRINITY CENTER,4.10734E+14,8/13/2002,14:00,Environmental,2.6,410,0.003,1200,0.86,0.05,8.3,0.14,7.9,71,820,28.4,25.9,1,0.59,0.33,5.7,1.1,0.2,0.5,4.7,58.4,0.09,5.6,4200,1,0.53,5.2,2100,890,7.4,1.2,26.2,< 0.002 ,0.272,23.9,13.1,< 0.8 ,1.1,3900,0.17,< 0.05 ,0.9,0.12,0.5,0.08,0.74,51,5.7,0.6,140,22
TR-06,EF TRINITY R BL ALTOONA MINE DR NR TRINITY CENTER,4.10731E+14,8/13/2002,10:30,Environmental,3.5,37,< 0.003 ,120,0.42,0.07,1.5,0.21,11.8,99,1600,7.7,43.6,1.7,0.98,0.46,7,1.6,0.35,0.23,5.8,46.8,0.16,11,900,1.1,0.46,6.9,1800,390,5.1,1.6,12.5,< 0.003 ,0.208,14,18.1,< 0.9 ,1.5,72,0.27,< 0.06 ,1.4,0.19,0.13,0.15,0.45,96,9.1,1,77,25
TR-08,EF TRINITY R 1.2 MI BL DEVILS C NR TRINITY CENTER,4.10259E+14,8/12/2002,13:00,Environmental,4.4,21,< 0.003 ,130,0.3,0.05,2.6,0.11,6.5,81,1500,3.5,43.6,1.7,1.1,0.42,7.2,1.5,0.36,0.13,3.5,23.1,0.17,11,1100,< 0.5 ,0.51,4.7,1500,340,3.3,1,6.3,< 0.002 ,0.055,3.9,25.5,< 0.8 ,1.3,48,0.27,< 0.05 ,0.8,0.2,< 0.05 ,0.17,0.3,140,9.9,1.1,73,18
TR-09,EF TRINITY R BL COUNTY RD 106 NR TRINITY CENTER CA,4.10031E+14,8/13/2002,10:00,Environmental,4.2,16,< 0.003 ,200,0.39,0.06,1.9,0.24,10.4,70.3,1100,5.6,48.9,1.9,1.2,0.45,5.9,1.8,0.4,0.25,5.2,24.3,0.18,7.2,970,0.7,0.4,6.3,1300,560,4.7,1.4,13.7,< 0.003 ,0.074,2.6,22.8,1.1,1.5,37,0.29,< 0.06 ,1.4,0.2,0.06,0.18,0.51,130,11.1,1.2,83,22
