Station Map ID,USGS Station Name,USGS Station Number,Date,Time,Sample Type,Water Temperature (degrees Celsius),pH,Specific conductance (microsiemens/cm,Dissolved oxygen (mg/L),"Discharge, instantaneous, cubic feet per second",Barometric pressure (millimeters of mercury),"Dissolved oxygen, water, unfiltered, percent of saturation",Suspended sediment concentration (mg/L),"Suspended sediment, percentage finer than 0.063 mm"
SY-27,MALAKOFF DIGGINGS N BLMFLD TNNL DISCH NR N BLMFLD,3.92051E+14,7/7/1999,11:30,Environmental,ND,7.3,348,ND,ND,ND,ND,ND,ND
SY-29,RELIEF HILL DEEP BLUE TNNL OUTFLOW NR N BLOOMFIELD,3.92126E+14,5/20/1999,12:00,Environmental,ND,5.6,485,ND,ND,ND,ND,ND,ND
SY-30,RELIEF HILL HYDR PIT MINE DR TNNL NR N BLOOMFIELD,3.92111E+14,9/1/1999,12:00,Environmental,15,3.8,455,ND,ND,ND,ND,ND,ND
SY-30,RELIEF HILL HYDR PIT MINE DR TNNL NR N BLOOMFIELD,3.92111E+14,7/30/2002,13:00,Environmental,17.5,3.9,362,8.6,ND,673,102,ND,ND
SY-32,RELIEF HILL POND NR RELIEF HILL CA,3.92119E+14,7/30/2002,11:00,Environmental,25.5,3.8,280,6.9,ND,764,84,ND,ND
SY-32,RELIEF HILL POND NR RELIEF HILL CA,3.92119E+14,7/30/2002,15:00,Environmental,ND,4,344,ND,ND,ND,ND,ND,ND
SY-33,LITTLE ROCK C .05 MI BL BLUE TENT RD NR NEVADA CTY,3.91726E+14,7/8/2003,13:00,Environmental,14,6.8,75,7.9,0.14,691,85,ND,ND
SY-34,LITTLE ROCK C .1 MI BL BLUE TENT RD NR NEVADA CITY,3.91727E+14,7/8/2003,12:10,Environmental,14,7,74,8.5,0.14,692,91,ND,ND
SY-35,LITTLE ROCK C .2 MI BL BLUE TENT RD NR NEVADA CITY,3.91728E+14,7/8/2003,11:10,Environmental,13,6.7,76,7.6,0.2,690,80,ND,ND
SY-36,LITTLE ROCK C .9 MI BL BLUE TENT RD NR NEVADA CITY,3.91742E+14,7/12/2003,10:40,Environmental,13.5,7.2,83,9.3,0.25,697,98,ND,ND
SY-38,ROCK C AB LITTLE ROCK C NR NEVADA CITY CA,3.91756E+14,7/12/2003,12:30,Environmental,7.5,ND,39,9.5,1.6,700,86,ND,ND
SY-39,ROCK C A ROCK C RD NR NEVADA CITY CA,3.9181E+14,7/10/2003,12:40,Environmental,16.5,7.5,46,9.4,3,698,105,ND,ND
SY-40,LAKE VERA ROCK C ARM NR NEVADA CITY CA,3.91803E+14,6/26/2003,15:00,Environmental,24,7.6,52,8.9,ND,ND,ND,ND,ND
SY-41,LAKE VERA IN THALWEG NR DAM NR NEVADA CITY CA,3.91807E+14,6/26/2003,14:30,Environmental,21.1,7.6,53,9.4,ND,ND,ND,ND,ND
SY-42,LAKE VERA S SHORE NR NEVADA CITY CA,3.91802E+14,6/26/2003,15:30,Environmental,23.5,7.6,52,9.3,ND,ND,ND,ND,ND
SY-44,S YUBA R AB LANGS CROSSING NR EMIGRANT GAP CA,3.91911E+14,10/31/2002,10:20,Environmental,9.5,7.1,49,9,ND,644,93,<1,50
SY-44,S YUBA R AB LANGS CROSSING NR EMIGRANT GAP CA,3.91911E+14,6/11/2003,10:40,Environmental,13.5,7.4,23,9.3,ND,653,104,2,90
SY-45,S YUBA R BL POORMAN C NR WASHINGTON CA,3.92119E+14,11/5/2002,14:10,Environmental,7.5,7.5,87,5.5,ND,700,50,8,99
SY-46,S YUBA R A MISSOURI BAR NR NEVADA CITY CA,3.92025E+14,10/29/2002,11:00,Environmental,9.5,7.5,93,16.8,33,699,160,2,79
SY-47,S YUBA R A EDWARDS CROSSING NR NEVADA CITY CA,3.91949E+14,1/28/2000,11:00,Environmental,5,7.2,63,ND,437,ND,ND,4,68
SY-48,S YUBA R AB PURDON CROSSING NR NEVADA CITY CA,3.91938E+14,10/21/2002,11:00,Environmental,11,7,96,8.6,ND,ND,ND,2,92
SY-50,S YUBA R A BRIDGEPORT CA,3.91734E+14,10/23/2002,13:50,Environmental,13.5,7.7,112,12.6,ND,752,123,2,69
SY-52,BLUE HOLE LK A SAILOR FLAT MINE NR NEVADA CITY CA,3.91937E+14,8/24/1999,11:00,Environmental,ND,3.5,296,ND,ND,ND,ND,ND,ND
SY-54,SHADY C NR NORTH SAN JUAN CA,3.91922E+14,2/26/2004,14:40,Environmental,7.6,6.7,49,11.9,ND,713,106,ND,ND
SY-56,BIRCHVILLE POND NR FRENCH CORRAL CA,3.91937E+14,2/5/2002,16:30,Environmental,7.5,6.6,34,12,ND,ND,ND,ND,ND
SY-57,FRENCH CORRAL C NR BRIDGEPORT CA,3.91744E+14,4/29/2004,12:30,Environmental,15.7,7.4,225,10.1,0.02,ND,ND,ND,ND
SY-58,KENTUCKY RAVINE NR FRENCH CORRAL CA,3.91726E+14,4/29/2004,13:50,Environmental,15.4,8.1,248,11.2,1.6,750,114,ND,ND
TR-01,EF TRINITY R A HORSE HEAVEN MDW NR MT SHASTA CA,4.10928E+14,6/5/2001,12:15,Environmental,10.6,6.5,42,ND,ND,ND,ND,14,ND
TR-01,EF TRINITY R A HORSE HEAVEN MDW NR MT SHASTA CA,4.10928E+14,8/13/2002,12:30,Environmental,12,6.7,80,7.1,ND,ND,ND,1,60
TR-02,TAMARACK C A EF TRINITY R NR MT SHASTA CA,4.10916E+14,6/5/2001,13:00,Environmental,10.5,7.4,54,ND,ND,ND,ND,5,ND
TR-02,TAMARACK C A EF TRINITY R NR MT SHASTA CA,4.10916E+14,8/13/2002,13:00,Environmental,18,7.9,105,9.1,ND,637,115,<1,50
TR-03,CROW C AB CONFLUENCE OF EF TRINITY R NR TRINITY CE,4.1074E+14,6/5/2001,14:00,Environmental,14.5,8.3,190,ND,ND,ND,ND,5,ND
TR-03,CROW C AB CONFLUENCE OF EF TRINITY R NR TRINITY CE,4.1074E+14,8/13/2002,11:00,Environmental,16.5,7.6,260,8.1,ND,664,95,1,20
TR-05,ALTOONA MINE DR A EF TRINITY R NR TRINITY CENTER,4.10734E+14,6/5/2001,15:00,Environmental,ND,ND,ND,ND,ND,ND,ND,16,ND
TR-05,ALTOONA MINE DR A EF TRINITY R NR TRINITY CENTER,4.10734E+14,8/13/2002,14:00,Environmental,29,8.9,2250,7.7,ND,ND,ND,3,11
TR-06,EF TRINITY R BL ALTOONA MINE DR NR TRINITY CENTER,4.10731E+14,6/5/2001,15:30,Environmental,15.3,8.1,180,ND,ND,ND,ND,11,ND
TR-06,EF TRINITY R BL ALTOONA MINE DR NR TRINITY CENTER,4.10731E+14,8/13/2002,10:30,Environmental,19,8.4,421,8.6,ND,673,105,<1,67
TR-08,EF TRINITY R 1.2 MI BL DEVILS C NR TRINITY CENTER,4.10259E+14,6/5/2001,18:30,Environmental,15.2,8,126,ND,ND,ND,ND,11,ND
TR-08,EF TRINITY R 1.2 MI BL DEVILS C NR TRINITY CENTER,4.10259E+14,8/12/2002,13:00,Environmental,21.1,8.4,266,8.7,ND,697,107,<1,67
TR-09,EF TRINITY R BL COUNTY RD 106 NR TRINITY CENTER CA,4.10031E+14,6/5/2001,17:30,Environmental,18,8,136,ND,ND,ND,ND,6,ND
TR-09,EF TRINITY R BL COUNTY RD 106 NR TRINITY CENTER CA,4.10031E+14,8/12/2002,10:00,Environmental,18.5,7.7,251,8.2,ND,700,96,<1,67
TR-11,TRINITY R A BIG FLAT DAY USE AREA NR BIG BAR CA,4.04427E+14,8/27/2002,14:20,Environmental,16.5,8.2,106,1.2,ND,733,13,ND,ND
TR-14,EF OF NF TRINITY R .53 MI AB BARNEY GULCH,4.0494E+14,8/27/2002,12:00,Environmental,17,8,161,2.3,ND,719,25,ND,ND
TR-15,NEW R A DENNY CAMPGROUND NR DENNY CA,4.05557E+14,8/26/2002,15:20,Environmental,19.5,8,204,4.8,29,731,55,ND,ND
BR-75,POLAR STAR MINE PIT SUMP NR DUTCH FLAT CA,3.91245E+14,8/3/2000,13:40,Environmental Disturbed,25,11,1290,ND,ND,ND,ND,ND,ND
