Station Map ID,USGS Station Name,USGS Station Number,Date,Time,Sample Type,Delta-18O SO4 (per mil VSMOW),Delta-34S SO4 (per mil CDT),Delta-18O H2O (per mil VSMOW),Delta-D H2O (per mil VSMOW),"Nitrogen, ammonia, filtered (mg/L)","Nigrogen, ammonia plus organic, filtered (mg/L)","Nitrogen, ammonia plus organic, unfiltered (mg/L)","Nitrogen, nitrite plus nitrate, filtered (mg/L)","Nitrogen, nitrite, filtered (mg/L)","Total nitrogen, particulate (mg/L)","Total phosphorus, filtered (mg/L)","Phosphorous, orthophosphate, filtered (mg/)","Total phosphorus, unfiltered (mg/L)","Carbon, inorganic plus organic, particulate (mg/L)","Carbon, organic, filtered (mg/L)","Carbon, organic, particulate (mg/L)","Alkalinity, laboratory (mg/L as CaCO3)",Chloride (mg/L),Sulfate (mg/L)
BR-78,POLAR STAR MINE TUNNEL DISCHARGE NR DUTCH FLAT CA,3.91247E+14,5/27/1999,10:30,Environmental,-3.9,-4.5,-9.6,ND,<.02,E.09,E.09,<.05,<.010,ND,0.011,0.01,<.004,ND,ND,ND,ND,0.7,216
BR-78,POLAR STAR MINE TUNNEL DISCHARGE NR DUTCH FLAT CA,3.91247E+14,2/13/2001,10:20,Environmental,-4,-0.6,-10.5,-74,<.04,<.10,<.08,<.05,<.006,ND,E.003,<.02,E.002,ND,0.8,<.2,32,0.77,390
BR-78,POLAR STAR MINE TUNNEL DISCHARGE NR DUTCH FLAT CA,3.91247E+14,2/13/2001,10:21,Laboratory Replicate,-4.5,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
BR-78,POLAR STAR MINE TUNNEL DISCHARGE NR DUTCH FLAT CA,3.91247E+14,11/6/2001,10:30,Environmental,ND,ND,ND,ND,<.04,E.05,<.10,E.04,<.008,ND,<.004,<.02,<.004,ND,1.3,<.2,ND,ND,ND
BR-78,POLAR STAR MINE TUNNEL DISCHARGE NR DUTCH FLAT CA,3.91247E+14,12/21/2001,9:00,Environmental,-4.5,0.7,-10.7,-75.4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.51,169
BR-78,POLAR STAR MINE TUNNEL DISCHARGE NR DUTCH FLAT CA,3.91247E+14,12/21/2001,9:01,Laboratory Replicate,ND,0.8,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
BR-79,POLAR STAR MINE BORROW PIT NR DUTCH FLAT CA,3.9125E+14,8/3/2000,15:30,Environmental,-5,-0.6,-7.4,-59.5,0.02,<.10,E.06,<.05,<.010,ND,<.006,<.01,<.008,ND,<.3,<.2,ND,ND,ND
BR-79,POLAR STAR MINE BORROW PIT NR DUTCH FLAT CA,3.9125E+14,8/3/2000,15:31,Laboratory Replicate,ND,-0.5,ND,-61.2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
BR-80,NF STEEPHOLLOW C NR BLUE CYN CA,3.91642E+14,7/1/1999,10:00,Environmental,ND,ND,-10.7,-76.2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,22,1.6,3.1
BR-81,REMINGTON HILL MINE MAIN DISCHARGE NR BLUE CYN CA,3.91643E+14,7/1/1999,9:30,Environmental,ND,ND,-10.5,-73.6,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,25,ND,ND
BR-82,SE TRIB TO ROLLINS RES NR COLFAX CA,3.90815E+14,12/21/2001,7:30,Environmental,ND,-20.1,-10,-68.1,<.04,<.10,E.08,0.13,<.008,ND,<.004,<.02,E.003,ND,1,<.2,ND,ND,ND
BR-82,SE TRIB TO ROLLINS RES NR COLFAX CA,3.90815E+14,12/21/2001,7:31,Laboratory Replicate,ND,ND,ND,-69,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
BR-83,POORMAN C AB ROLLINS RES A YOU BET RD NR COLFAX CA,3.90951E+14,12/21/2001,14:30,Environmental,ND,ND,ND,ND,<.04,E.06,E.05,0.11,<.008,ND,<.004,<.02,E.003,ND,1,<.2,ND,1.1,3.9
BR-84,S TRIB TO ROLLINS RES NR COLFAX CA,3.90753E+14,12/21/2001,8:00,Environmental,ND,ND,-10,-69.7,<.04,E.07,0.24,0.45,<.008,ND,0.005,<.02,0.012,ND,1.4,<.2,ND,ND,ND
BR-85,BEAR R BL STEEPHOLLOW C NR CHICAGO PARK CA,3.91023E+14,1/26/2000,13:00,Environmental,0.4,-2.5,-12.9,-95.1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,20,ND,ND
BR-86,NW TRIB TO ROLLINS RES NR BEAR RIVER PINES CA,3.91006E+14,6/8/1999,12:30,Environmental,ND,ND,ND,ND,<.04,0.12,0.18,0.95,<.008,ND,0.007,<.02,0.025,ND,1.8,0.2,ND,ND,ND
BR-86,NW TRIB TO ROLLINS RES NR BEAR RIVER PINES CA,3.91006E+14,12/21/2001,12:30,Environmental,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,3.7,1.9
BR-89,SOUTHERN CROSS MINE TUNNEL MIDWAY NR DUTCH FLAT CA,3.91237E+14,5/27/1999,15:00,Environmental,-4,-3.1,-9.6,-66.5,<.02,<.10,E.07,<.05,<.010,ND,0.004,0.01,<.004,ND,0.5,<.2,ND,1,184
BR-91,STEEPHOLLOW C A LOWELL HILL BRDG NR NEVADA CITY CA,3.91146E+14,1/26/2000,10:00,Environmental,-0.8,-6.1,-11.7,-83.6,<.02,<.10,0.5,<.05,<.010,ND,E.003,<.01,0.014,ND,1.6,0.2,24,ND,ND
BR-93,STUMP CYN C NE NR DUTCH FLAT CA,3.91351E+14,2/16/2000,12:45,Environmental,-0.6,-3.2,-12.5,-90.8,<.02,<.10,0.3,<.05,<.010,ND,<.006,<.01,0.3,ND,0.9,1,10,ND,ND
BR-94,STUMP CYN C NW NR DUTCH FLAT CA,3.9135E+14,2/16/2000,13:45,Environmental,ND,ND,-12.1,-87.9,<.02,<.10,<.10,<.05,<.010,ND,<.006,<.01,E.006,ND,1.4,<.2,10,ND,ND
BR-94,STUMP CYN C NW NR DUTCH FLAT CA,3.9135E+14,2/16/2000,13:46,Laboratory Replicate,ND,ND,-12.1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
BR-95,YOU BET MINE OUTLET TO MAIN DRAIN TNNL NR GOLD RUN,3.91215E+14,5/6/1999,12:30,Environmental,-4,-9.4,-9.6,-67.7,0.04,<.10,E.05,0.07,<.010,ND,<.004,0.02,<.004,ND,ND,ND,ND,ND,ND
BR-96,YOU BET MINE INLET TO MAIN DRAIN TNNL NR GOLD RUN,3.91223E+14,5/6/1999,15:00,Environmental,-4.5,-8.6,-9.6,-68.1,0.04,E.06,E.06,0.06,<.010,ND,<.004,0.02,<.004,ND,ND,ND,ND,ND,ND
BR-96,YOU BET MINE INLET TO MAIN DRAIN TNNL NR GOLD RUN,3.91223E+14,5/6/1999,15:01,Laboratory Replicate,-4.3,-8.8,ND,-68.1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
BR-99,YOU BET MINE SW DRAINAGE TUNNEL NR GOLD RUN CA,3.91144E+14,5/5/1999,14:30,Environmental,-0.3,-20.4,-9.4,ND,0.04,<.10,<.10,0.06,<.010,ND,<.004,0.01,0.004,ND,0.7,<.2,ND,ND,ND
BR-100,YOU BET SOUTH WEST-3 TUNNEL NR GOLD RUN CA,3.91147E+14,2/6/2002,10:30,Environmental,1.7,-21.1,-10.1,-69.3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.8,89
BR-101,WALLOUPA MINE SOUTH DRAINAGE TUNNEL NR GOLD RUN CA,3.91132E+14,2/6/2002,12:30,Environmental,3.5,-19.9,-9.1,-67.5,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.97,8.6
BR-101,WALLOUPA MINE SOUTH DRAINAGE TUNNEL NR GOLD RUN CA,3.91132E+14,2/6/2002,12:31,Laboratory Replicate,3.3,ND,-9.1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
BR-102,WALLOUPA MINE EAST DRAINAGE TUNNEL NR GOLD RUN CA,3.91144E+14,5/5/1999,15:20,Environmental,-1,-24.1,-9.3,-65.4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.3,ND,ND
BR-102,WALLOUPA MINE EAST DRAINAGE TUNNEL NR GOLD RUN CA,3.91144E+14,6/19/2003,15:20,Environmental,ND,ND,ND,ND,0.04,<.10,E.05,0.06,<.010,ND,<.004,0.01,<.004,ND,0.5,<.2,ND,ND,ND
DC-02,DEER C AB SCOTTS FLAT RES NR NEVADA CITY CA,3.91731E+14,1/27/2000,10:00,Environmental,ND,ND,-11.5,-82.5,<.02,<.10,<.10,<.05,<.010,ND,<.006,<.01,E.004,ND,1,ND,13,ND,ND
DC-03,DEER C BL SCOTTS FLAT RES NR NEVADA CITY CA,3.91617E+14,1/27/2000,13:30,Environmental,ND,ND,-10.2,-75.8,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,13,ND,ND
DC-05,DEER C BL DEER C FALLS NR ROUGH AND READY CA,3.9144E+14,8/24/2000,10:00,Environmental,ND,ND,-10.3,-75,<.02,E.08,E.07,0.07,<.010,ND,0.016,0.01,0.02,ND,1,<.2,21,3.2,2.9
DC-08,UNNAMED TRIB TO DEER C A SCOTTS FLAT RES BL CASCI,3.91728E+14,1/27/2000,11:00,Environmental,ND,ND,-10.8,-76.5,<.02,<.10,<.10,<.05,<.010,ND,0.016,0.02,0.025,ND,1.5,0.2,26,ND,ND
LY-04,YUBA R NR SMARTSVILLE CA,11419600,12/11/2002,11:00,Environmental,ND,ND,-11.4,-82.4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,34,1,3.6
LY-05,YUBA R A DAQUERRA PT NR BROWNS VALLEY CA,11420800,8/28/2001,15:00,Environmental,ND,ND,ND,ND,<.04,E.06,<.08,<.05,<.006,ND,E.005,<.02,0.006,ND,0.7,<.2,ND,ND,ND
LY-05,YUBA R A DAQUERRA PT NR BROWNS VALLEY CA,11420800,12/10/2002,11:40,Environmental,ND,ND,-11.2,-79,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,37,1.1,3.6
LY-08,YUBA R A MARYSVILLE CA,11421500,12/11/2002,10:00,Environmental,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1.3,5.2
LY-11,WETLANDS POND NE OF S POND IN YUBA GOLDFIELDS,3.913E+14,7/17/2003,15:20,Environmental,ND,ND,ND,ND,<.04,E.06,0.18,<.05,<.008,0.05,E.004,<.02,0.021,0.9,1.6,0.9,34,0.85,3.6
LY-12,LARGE POND E OF BIG SEEP IN YUBA GOLDFIELDS,3.91304E+14,7/22/2003,11:40,Environmental,ND,ND,ND,ND,<.04,<.10,<.10,<.06,<.008,0.03,<.004,<.02,<.004,0.1,0.9,0.1,33,0.76,2.9
LY-13,LARGE POND W OF WETLANDS POND IN YUBA GOLDFIELDS,3.91258E+14,7/22/2003,13:10,Environmental,ND,ND,ND,ND,<.04,<.10,E.07,<.06,<.008,0.07,0.006,<.02,0.007,0.4,1.1,0.4,41,1.2,4.8
LY-14,BIG SEEP SECTION 27 IN YUBA GOLDFIELDS,3.91305E+14,7/17/2003,14:20,Environmental,ND,ND,ND,ND,<.04,<.10,<.10,<.05,<.008,<.02,<.004,<.02,E.003,<.1,0.9,<.12,32,0.74,2.9
LY-15,T POND OUTLET IN YUBA GOLDFIELDS NR HAMMONTON CA,3.9125E+14,7/17/2003,15:50,Environmental,ND,ND,ND,ND,<.04,<.10,E.05,<.05,<.008,<.02,<.004,<.02,0.004,<.1,1,<.12,34,0.79,3.1
LY-16,T POND IN YUBA GOLDFIELDS NR HAMMONTON CA,3.91259E+14,7/17/2003,13:00,Environmental,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,33,0.74,3
MY-01,M YUBA R BL MILTON DAM CA,11408550,10/28/2002,12:00,Environmental,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,17,0.32,0.75
MY-01,M YUBA R BL MILTON DAM CA,11408550,6/10/2003,10:30,Environmental,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,17,0.36,0.83
MY-02,M YUBA R NR ALLEGHANY CA,11408700,11/1/2002,12:20,Environmental,ND,ND,-11.9,-84.9,<.04,<.10,<.10,<.06,<.008,ND,<.004,<.02,0.006,ND,0.4,<.2,66,0.38,3.7
MY-03,M YUBA R NR CAMPTONVILLE CA,11408850,11/4/2002,12:50,Environmental,2.2,0.7,-11.6,-84.3,<.04,<.10,E.10,<.06,<.008,ND,E.003,<.02,E.003,ND,0.4,<.2,65,2.2,8.2
MY-03,M YUBA R NR CAMPTONVILLE CA,11408850,11/4/2002,12:51,Laboratory Replicate,ND,ND,ND,-84.5,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
MY-04,M YUBA R NR NORTH SAN JUAN CA,11410000,6/20/2001,10:30,Environmental,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,55,ND,ND
MY-04,M YUBA R NR NORTH SAN JUAN CA,11410000,10/21/2002,13:00,Environmental,ND,ND,ND,ND,<.04,<.10,E.07,<.06,<.008,ND,E.002,<.02,0.004,ND,0.6,<.2,65,2.5,8.5
MY-05,CLEAR C NR NORTH SAN JUAN CA,3.92256E+14,4/28/2004,10:30,Environmental,ND,ND,ND,ND,<.04,E.06,0.1,<.06,<.008,<.02,0.007,<.02,0.008,<.1,1.9,<.12,E61,ND,ND
MY-06,SWEETLAND C AT SWEETLAND CA,3.92036E+14,4/27/2004,10:20,Environmental,ND,ND,ND,ND,<.04,0.12,E.09,0.22,<.008,<.02,0.005,<.02,0.008,<.1,2.2,<.12,E33,ND,ND
MY-07,M YUBA R AB COLGATE PH NR FRENCH CORRAL CA,3.9195E+14,10/25/2002,10:50,Environmental,ND,ND,ND,ND,<.04,E.06,E.08,<.06,<.008,ND,<.004,<.02,0.004,ND,0.6,<.2,62,3.2,10
SY-01,OMEGA EAST SHAFT (TUNNEL VENT SHAFT) NR WASHINGTON,3.92022E+14,4/30/1999,13:20,Environmental,0.9,1.9,-10.4,-74.4,0.03,<.10,<.10,<.05,<.010,ND,<.004,0.01,0.009,ND,0.7,<.2,11,ND,ND
SY-03,OMEGA SOUTH TUNNEL NR WASHINGTON CA,3.9202E+14,4/30/1999,12:30,Environmental,0.2,2.9,-10.6,-74.6,0.03,<.10,0.62,<.05,<.010,ND,<.004,0.01,0.007,ND,0.5,<.2,1,0.58,6.7
SY-04,OMEGA DR GULCH A SCOTCHMAN C NR WASHINGTON CA,3.92045E+14,6/8/1999,13:30,Environmental,ND,ND,ND,ND,<.02,E.06,E.05,<.05,<.010,ND,0.009,0.02,0.016,ND,0.7,<.2,ND,0.57,3.5
SY-05,SCOTCHMAN C AB OMEGA DR GULCH NR WASHINGTON CA,3.92042E+14,6/8/1999,14:30,Environmental,ND,ND,-10.7,-76.7,<.02,<.10,<.10,<.05,<.010,ND,0.006,0.01,0.007,ND,0.5,<.2,ND,0.88,1.8
SY-06,ALPHA MINE RED TUNNEL NR WASHINGTON,3.92023E+14,12/16/1999,11:20,Environmental,-1.6,-15.3,-8.7,-69,<.02,<.10,<.10,<.05,<.010,ND,E.003,<.01,E.007,ND,0.8,<.2,ND,ND,ND
SY-07,ALPHA MINE MAIN DRAINAGE N ALPHA DIG NR WASHINGTON,3.92108E+14,6/20/2000,13:30,Environmental,ND,ND,-10.8,-79.7,<.02,<.10,<.10,<.05,<.010,ND,0.009,<.01,0.016,ND,ND,ND,ND,ND,ND
SY-08,SCOTCHMAN C A THE FALLS NR WASHINGTON CA,3.92116E+14,7/29/2002,15:40,Environmental,ND,ND,ND,ND,<.04,<.10,<.10,<.05,<.008,ND,0.008,<.02,0.011,ND,0.5,0.3,23,0.7,4.5
SY-10,SCOTCHMAN C BL FALLS NR WASHINGTON CA,3.92119E+14,6/20/2000,14:00,Environmental,ND,ND,-10.9,-79.7,<.02,<.10,0.22,<.05,<.010,ND,0.008,<.01,0.01,ND,ND,ND,ND,ND,ND
SY-10,SCOTCHMAN C BL FALLS NR WASHINGTON CA,3.92119E+14,7/29/2002,14:30,Environmental,ND,ND,ND,ND,<.04,<.10,<.10,<.05,<.008,ND,0.007,<.02,0.008,ND,0.4,<.2,23,ND,ND
SY-11,ALPHA MINE PIT NR WASHINGTON CA,3.92015E+14,12/16/1999,10:30,Environmental,-3.2,-25.9,-10,-71.1,<.02,<.10,E.08,<.05,<.010,ND,<.006,<.01,0.063,ND,E1.0,0.4,1,ND,ND
SY-11,ALPHA MINE PIT NR WASHINGTON CA,3.92015E+14,12/16/1999,10:31,Laboratory Replicate,ND,ND,-9.9,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SY-13,ALPHA MINE PIT LK NR WASHINGTON CA,3.92007E+14,8/23/2000,14:50,Environmental,ND,ND,-3.3,-59.4,<.02,0.17,0.29,<.05,<.010,ND,E.004,<.01,0.017,ND,5.3,0.3,ND,0.49,<0.2
SY-13,ALPHA MINE PIT LK NR WASHINGTON CA,3.92007E+14,7/29/2002,11:10,Environmental,ND,ND,ND,ND,<.04,0.16,0.3,<.05,<.008,ND,<.004,<.02,0.016,ND,5.2,2.3,ND,0.61,<0.2
SY-15,ANCHO ERIE DRAINAGE A POORMAN C NR WASHINGTON CA,3.92512E+14,7/31/2002,11:40,Environmental,-6.3,2.9,-11.7,-83.6,<.04,<.10,<.10,E.04,<.008,ND,0.007,<.02,0.008,ND,0.5,<.2,21,0.43,8.9
SY-15,ANCHO ERIE DRAINAGE A POORMAN C NR WASHINGTON CA,3.92512E+14,7/31/2002,14:00,Environmental,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.43,9.1
SY-16,POORMAN C BL ANCHO ERIE MINE DRAIN NR WASHINGTON,3.92513E+14,7/31/2002,12:00,Environmental,-6.7,3,-11.7,-81.5,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,55,0.51,2.5
SY-17,GRIZZLY HILL TUNNEL OUTLET NR NORTH BLOOMFIELD CA,3.92014E+14,3/16/2003,11:30,Environmental,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.75,5.2
SY-19,LE DU MINE TUNNEL DISCHARGE,3.92151E+14,2/5/2002,12:00,Environmental,-3.4,-20.4,-11.1,-78.6,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.55,20
SY-19,LE DU MINE TUNNEL DISCHARGE,3.92151E+14,2/5/2002,12:01,Laboratory Replicate,ND,ND,-11,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SY-20,CRYSTAL HILL MINE POND NR NORTH BLOOMFIELD CA,3.92159E+14,2/5/2002,15:00,Environmental,-5.2,-28.2,-12,-87.3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.47,14
SY-21,MALAKOFF DIGGINGS FLD GREEN SHAFT DISCH NR BLMFLD,3.92152E+14,4/28/1999,16:30,Environmental,6.6,-1.7,-10.4,-74.9,0.3,0.24,2.4,<.05,<.010,ND,<.004,0.01,5.25,ND,0.7,0.6,53,1.9,140
SY-21,MALAKOFF DIGGINGS FLD GREEN SHAFT DISCH NR BLMFLD,3.92152E+14,4/28/1999,16:31,Laboratory Replicate,ND,-1.9,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SY-22,MALAKOFF DIGGINGS FLOODED RED SHAFT NR N BLMFLD,3.92155E+14,4/28/1999,16:00,Environmental,2.3,-5.1,-10.5,-75.2,0.02,<.10,0.12,<.05,<.010,ND,<.004,0.01,0.03,ND,0.9,0.2,54,1.9,157
SY-22,MALAKOFF DIGGINGS FLOODED RED SHAFT NR N BLMFLD,3.92155E+14,4/28/1999,16:01,Laboratory Replicate,2.2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SY-22,MALAKOFF DIGGINGS FLOODED RED SHAFT NR N BLMFLD,3.92155E+14,12/1/1999,14:20,Environmental,2.5,-5.3,-10.5,-74.9,0.28,0.25,0.36,<.05,<.010,ND,<.006,<.01,0.55,ND,0.7,1.3,64,ND,ND
SY-23,MALAKOFF DIGGINGS HILLER TNNL DISCH N BLOOMFIELD,3.92204E+14,12/1/1999,12:20,Environmental,1.4,-3.4,-8.2,-55.3,<.02,0.27,0.43,<.05,<.010,ND,E.005,<.01,0.17,ND,ND,ND,23,ND,ND
SY-23,MALAKOFF DIGGINGS HILLER TNNL DISCH N BLOOMFIELD,3.92204E+14,12/1/1999,12:21,Laboratory Replicate,2.7,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SY-24,MALAKOFF DIGGINGS POND NR NORTH BLOOMFIELD CA,3.92201E+14,12/1/1999,11:00,Environmental,ND,ND,-3.3,-39.9,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,3,ND,ND
SY-24,MALAKOFF DIGGINGS POND NR NORTH BLOOMFIELD CA,3.92201E+14,8/26/2002,11:00,Environmental,ND,ND,ND,ND,<.02,0.43,1,<.05,<.010,ND,0.012,<.01,0.066,ND,ND,ND,ND,ND,ND
SY-25,MALAKOFF DIGGINGS LK CITY TNNL DISCH NR N BLMFLD,3.92111E+14,7/7/1999,13:00,Environmental,-0.8,-4.3,-10.2,-70.9,<.02,E.08,0.12,<.05,<.010,ND,0.004,0.01,0.004,ND,ND,ND,53,1.2,9.4
SY-27,MALAKOFF DIGGINGS N BLMFLD TNNL DISCH NR N BLMFLD,3.92051E+14,7/7/1999,11:30,Environmental,3.2,-4.3,-10.4,-74.6,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,95,2,68
SY-27,MALAKOFF DIGGINGS N BLMFLD TNNL DISCH NR N BLMFLD,3.92051E+14,7/7/1999,11:31,Laboratory Replicate,ND,ND,-10.5,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SY-29,RELIEF HILL DEEP BLUE TNNL OUTFLOW NR N BLOOMFIELD,3.92126E+14,5/20/1999,12:00,Environmental,-4.1,-7.4,-10.2,-72.8,0.03,0.1,0.11,<.05,<.010,ND,<.004,0.01,<.004,ND,0.8,<.2,ND,0.9,217
SY-30,RELIEF HILL HYDR PIT MINE DR TNNL NR N BLOOMFIELD,3.92111E+14,9/1/1999,12:00,Environmental,-2.7,-9.5,-7.8,-55.7,<.02,<.10,E.08,<.05,<.010,ND,<.004,<.01,<.004,ND,0.6,0.2,ND,ND,ND
SY-30,RELIEF HILL HYDR PIT MINE DR TNNL NR N BLOOMFIELD,3.92111E+14,7/30/2002,13:00,Environmental,-5.4,-9.3,-7.3,-62.5,<.04,<.10,E.08,0.06,<.008,ND,<.004,<.02,0.018,ND,0.4,0.3,ND,0.68,174
SY-32,RELIEF HILL POND NR RELIEF HILL CA,3.92119E+14,7/30/2002,11:00,Environmental,ND,ND,ND,ND,<.04,E.05,<.10,<.05,<.008,ND,<.004,<.02,0.006,ND,0.4,0.2,ND,0.73,112
SY-33,LITTLE ROCK C .05 MI BL BLUE TENT RD NR NEVADA CTY,3.91726E+14,7/8/2003,13:00,Environmental,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,31,ND,ND
SY-34,LITTLE ROCK C .1 MI BL BLUE TENT RD NR NEVADA CITY,3.91727E+14,7/8/2003,12:10,Environmental,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,33,ND,ND
SY-35,LITTLE ROCK C .2 MI BL BLUE TENT RD NR NEVADA CITY,3.91728E+14,7/8/2003,11:10,Environmental,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,32,ND,ND
SY-36,LITTLE ROCK C .9 MI BL BLUE TENT RD NR NEVADA CITY,3.91742E+14,7/12/2003,10:40,Environmental,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,39,1.6,1.5
SY-38,ROCK C AB LITTLE ROCK C NR NEVADA CITY CA,3.91756E+14,7/12/2003,12:30,Environmental,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,14,1.3,0.44
SY-39,ROCK C A ROCK C RD NR NEVADA CITY CA,3.9181E+14,7/10/2003,12:40,Environmental,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,18,1.4,0.54
SY-40,LAKE VERA ROCK C ARM NR NEVADA CITY CA,3.91803E+14,6/26/2003,15:00,Environmental,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,22,ND,ND
SY-41,LAKE VERA IN THALWEG NR DAM NR NEVADA CITY CA,3.91807E+14,6/26/2003,14:30,Environmental,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,19,1.5,0.48
SY-42,LAKE VERA S SHORE NR NEVADA CITY CA,3.91802E+14,6/26/2003,15:30,Environmental,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,19,1.5,0.46
SY-44,S YUBA R AB LANGS CROSSING NR EMIGRANT GAP CA,3.91911E+14,10/31/2002,10:20,Environmental,ND,ND,ND,ND,<.04,E.06,E.06,<.06,<.008,<.02,<.004,<.02,0.005,<.1,1.5,<.12,19,ND,ND
SY-44,S YUBA R AB LANGS CROSSING NR EMIGRANT GAP CA,3.91911E+14,6/11/2003,10:40,Environmental,ND,ND,ND,ND,<.04,<.10,E.05,<.06,<.008,ND,<.004,<.02,E.002,ND,0.7,<.2,10,1.1,0.72
SY-45,S YUBA R BL POORMAN C NR WASHINGTON CA,3.92119E+14,11/5/2002,14:10,Environmental,2.7,4.5,-11.5,-84.5,<.04,<.10,E.06,<.06,<.008,ND,E.002,<.02,<.004,ND,0.6,<.2,36,1.4,5.6
SY-45,S YUBA R BL POORMAN C NR WASHINGTON CA,3.92119E+14,11/5/2002,14:11,Laboratory Replicate,ND,ND,ND,-85.2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SY-46,S YUBA R A MISSOURI BAR NR NEVADA CITY CA,3.92025E+14,10/29/2002,11:00,Environmental,ND,ND,ND,ND,<.04,<.10,<.10,<.06,<.008,ND,<.004,<.02,0.004,ND,0.5,<.2,37,ND,ND
SY-47,S YUBA R A EDWARDS CROSSING NR NEVADA CITY CA,3.91949E+14,1/28/2000,11:00,Environmental,ND,ND,-12.5,-91.5,<.02,<.10,<.10,<.05,<.010,ND,<.006,<.01,E.005,ND,1.4,<.2,28,ND,ND
SY-48,S YUBA R AB PURDON CROSSING NR NEVADA CITY CA,3.91938E+14,10/21/2002,11:00,Environmental,ND,ND,ND,ND,<.04,<.10,E.05,<.06,<.008,ND,<.004,<.02,<.004,ND,0.7,<.2,40,1.7,7.6
