Station Map ID,USGS Station Name,USGS Station Number,Date ,Time,Sample Type,Data References,"Total Mercury, Dry (ng/g)",Total Mercury Data Source,"Methylmercury, Dry (ng/g)",Methylmercury Data Source,Loss On Ignition (percent)
TR-12,TRINITY R A HAYDEN FLAT NR BIG BAR CA,404656123204501,08/27/2002,9:30,Environmental,NP,14.2,W1,0.32,W1,2.05
TR-12,TRINITY R A HAYDEN FLAT NR BIG BAR CA,404656123204501,08/27/2002,9:30,Environmental,NP,88.0,C1,0,0,0
TR-13,CANYON C BL CONRAD GULCH NR JUNCTION CITY CA,404723123032001,08/27/2002,16:00,Environmental,NP,4.4,W1,<0.05,W1,0.85
TR-13,CANYON C BL CONRAD GULCH NR JUNCTION CITY CA,404723123032001,08/27/2002,16:00,Environmental,NP,107,C1,0,0,0
TR-14,EF OF NF TRINITY R .53 MI AB BARNEY GULCH,404940123072901,08/27/2002,12:00,Environmental,NP,3.9,W1,<0.06,W1,0.92
TR-14,EF OF NF TRINITY R .53 MI AB BARNEY GULCH,404940123072901,08/27/2002,12:00,Environmental,NP,286,C1,0,0,0
TR-15,NEW R A DENNY CAMPGROUND NR DENNY CA,405557123233401,08/26/2002,15:30,Environmental,NP,16.5,W1,<0.09,W1,1.42
TR-15,NEW R A DENNY CAMPGROUND NR DENNY CA,405557123233401,08/26/2002,15:30,Environmental,NP,182,C1,0,0,0
SNI-005,BELDEN PH A BELDEN CA,11403050,09/19/2011,0,Environmental,https://doi.org/10.3133/ds1056,10.5,N1,0.18,N1,1.80
SNI-005,BELDEN PH A BELDEN CA,11403050,10/16/2012,0,Environmental,https://doi.org/10.3133/ds1056,E7.4,N1,0.03,N1,1.50
SNI-006,SPANISH C BL CLEAR C NR KEDDIE CA,400129120580701,09/20/2011,0,Environmental,https://doi.org/10.3133/ds1056,21.6,N1,0.31,N1,1.90
SNI-006,SPANISH C BL CLEAR C NR KEDDIE CA,400129120580701,10/16/2012,0,Environmental,https://doi.org/10.3133/ds1056,13.7,N1,0.12,N1,0.80
SNI-007,SPANISH C NR EAST QUINCY CA,395830120542501,09/20/2011,0,Environmental,https://doi.org/10.3133/ds1056,22.4,N1,0.16,N1,1.90
SNI-009,MF FEATHER R A SLOAT CA,11393000,09/21/2011,0,Environmental,https://doi.org/10.3133/ds1056,26.6,N1,0.27,N1,1.60
SNI-011,MF FEATHER R NR DELLEKER CA,394647120314501,09/22/2011,0,Environmental,https://doi.org/10.3133/ds1056,160,N1,0.07,N1,0.90
SNI-012,MERCED R AB BM1186 NR BRICEBURG CA,373637119573801,11/03/2011,0,Environmental,https://doi.org/10.3133/ds1056,9.0,N1,0.66,N1,1.90
SNI-013,MERCED R AB HWY 140 BRIDGE NR EL PORTAL CA,374017119472301,11/02/2011,0,Environmental,https://doi.org/10.3133/ds1056,E1.4,N1,0.11,N1,0.70
SNI-040,MF COSUMNES R NR PIPI VLY NR OMO RANCH CA,383403120272101,08/30/2012,0,Environmental,https://doi.org/10.3133/ds1056,E2.4,N1,0.10,N1,0.70
SNI-042,WOLF C NR LA BARR MEADOWS CA,390955121034101,09/06/2012,0,Environmental,https://doi.org/10.3133/ds1056,52.9,N1,0.40,N1,3.30
SNI-043,S WOLF C NR CHICAGO PARK CA,390722121013901,09/06/2012,0,Environmental,https://doi.org/10.3133/ds1056,381,N1,1.00,N1,2.90
SNI-045,SF DEER C NR WASHINGTON CA,391754120504801,09/25/2012,0,Environmental,https://doi.org/10.3133/ds1056,19.4,N1,0.14,N1,5.10
SNI-046,S YUBA R NR CISCO CA,11414000,09/25/2012,0,Environmental,https://doi.org/10.3133/ds1056,E3.5,N1,E0.044,N1,1.20
SNI-047,FORDYCE C AB LK SPAULDING NR EMIGRANT GAP CA,392122120364501,10/01/2012,0,Environmental,https://doi.org/10.3133/ds1056,9.1,N1,0.07,N1,0.80
SNI-048,MF COSUMNES R NR OMO RANCH CA,383632120365101,10/03/2012,0,Environmental,https://doi.org/10.3133/ds1056,E3.7,N1,0.04,N1,0.90
SNI-051,SF FEATHER R NR LA PORTE CA,394034121051801,10/17/2012,0,Environmental,https://doi.org/10.3133/ds1056,31.2,N1,0.12,N1,7.10
SNI-052,SF FEATHER R 0.15 MI BL FORBESTOWN DAM CA,393302121124501,10/31/2012,0,Environmental,https://doi.org/10.3133/ds1056,E4.6,N1,0.06,N1,1.80
SNI-053,MF FEATHER R A MILSAP BAR NR BRUSH CREEK CA,393302121124501,10/31/2012,0,Environmental,https://doi.org/10.3133/ds1056,9.1,N1,0.08,N1,0.70
SNI-054,MF FEATHER R ABV BRAY C NR SLOAT CA,395141120504901,11/07/2012,0,Environmental,https://doi.org/10.3133/ds1056,26.4,N1,0.30,N1,1.20
SNI-055,SF AMERICAN R A MOSQUITO RD NR PLACERVILLE CA,395141120504901,11/14/2012,0,Environmental,https://doi.org/10.3133/ds1056,E4.5,N1,0.15,N1,1.20
SNI-056,SILVER FORK OF AMERICAN R NR KYBURZ CA,384526120162901,11/14/2012,0,Environmental,https://doi.org/10.3133/ds1056,E1.1,N1,<.05,N1,0.60
SNI-057,NF OF MF AMERICAN R NR MICHIGAN BLUFF CA,390120120431601,11/15/2012,0,Environmental,https://doi.org/10.3133/ds1056,21.5,N1,0.10,N1,1.00
SNI-058,RUBICON R NR VOLCANOVILLE CA,385957120432401,11/15/2012,0,Environmental,https://doi.org/10.3133/ds1056,E1.3,N1,<.05,N1,0.70
,,,,,,,,,,,
,,,,,,,,,,,
