Station Map ID,USGS Station Name,USGS Station Number,Date ,Time,Sample Type,Data References,"Total Mercury, Dry (ng/g)",Total Mercury Data Source,"Methylmercury, Dry (ng/g)",Methylmercury Data Source,Loss On Ignition (percent)
BR-19,BOSTON MINE 60 FT AB UPPER POND NR GOLD RUN CA,391333120541501,12/04/2002,16:00,Environmental,NP,177,C1,0,0,0
BR-20,BUCKEYE FLAT MINE N DR TO GREENHORN C GRASS VALLEY,391446120534201,06/18/1999,11:30,Environmental,https://doi.org/10.3133/sir20045251,12000,C1,0.05,W1,0
BR-21,BUCKEYE FLAT MINE POND DR .15 MI AB SF GREENHORN C,391416120532001,08/21/2000,14:10,Environmental,NP,873,W1,5.40,W1,23.6
BR-22,BUCKEYE FLAT MINE S DR TO SF GRNHRN C GRASS VALLEY,391415120533701,08/26/1999,11:00,Environmental,https://doi.org/10.3133/sir20045251,150,C1,1.90,W1,0
BR-45,MISSOURI CYN C 1.2 MI AB GREENHORN C NR CHICAGO PK,391259120535801,12/14/1999,14:00,Environmental,https://doi.org/10.3133/sir20045251,175,W1,1.20,W1,0
BR-51,POORE MINE PIT LAKE NR GRASS VALLEY CA,391354120544301,02/06/2002,16:00,Environmental,NP,54.7,W1,<0.02,W1,4.05
BR-55,POORE MINE GROUND SLUICE NR GRASS VALLEY CA,391351120544901,04/01/1999,12:00,Environmental,https://doi.org/10.3133/sir20045251,0,0,5.20,W1,0
BR-65,TOM JERRY MINE DR BL CONFLUENCE NR NEVADA CITY CA,391626120525101,08/23/2000,11:30,Environmental,NP,325,W1,0.12,W1,6.90
BR-66,TOM JERRY MINE DR A TUNNEL OUTLET NR NEVADA CITY,391627120524801,07/30/2002,17:40,Environmental,NP,"7,010",W1,13.1,W1,12.0
BR-66,TOM JERRY MINE DR A TUNNEL OUTLET NR NEVADA CITY,391627120524801,07/30/2002,17:40,Environmental,NP,202,C1,0,0,0
BR-66,TOM JERRY MINE DR A TUNNEL OUTLET NR NEVADA CITY,391627120524801,07/30/2002,18:00,Environmental,NP,70.9,W1,<0.08,W1,3.87
BR-66,TOM JERRY MINE DR A TUNNEL OUTLET NR NEVADA CITY,391627120524801,07/30/2002,18:00,Environmental,NP,"6,380",C1,0,0,0
BR-67,TOM JERRY MINE DR A TUNNEL INLET NR NEVADA CITY CA,391627120524901,08/23/2000,11:50,Environmental,NP,"15,900",W1,74.2,W1,0
BR-69,SAILOR FLAT MINE MAIN DR GULCH 01 NR QUAKER HILL,391620120532201,07/06/1999,16:00,Environmental,https://doi.org/10.3133/sir20045251,7.6,C1,<0.1,W1,0
